User.UserAttributes.business_name,Attributes.website_link,User.UserAttributes.category,Address,User.UserAttributes.telephone,Attributes.address_Line1,Location.Region,Location.City,Location.PostalCode,ChannelType
"Teledyne Controls, LLC",http://www.teledynecontrols.com,Aircraft Data and Information Solutions,krios@teledyne.com,3107653714.0,501 Continental Blvd.PO Box 1026,CA,El Segundo,90245.0,EMAIL
"Teledyne Controls, LLC",http://www.teledynecontrols.com,Aircraft Data and Information Solutions,lisa.buckland@teledyne.com,3107653714.0,501 Continental Blvd.PO Box 1026,CA,El Segundo,90245.0,EMAIL
Los Angeles World Airports,http://www.flyLAX.com,Airports,gpacheco@lawa.org,4246467460.0,"6053 W. Century Blvd. Suite 3011 World Way, Skyview Bldg., 3rd Floor",CA,Los Angeles,90045.0,EMAIL
Los Angeles World Airports,http://www.flyLAX.com,Airports,ssampson@lawa.org,4246467460.0,"6053 W. Century Blvd. Suite 3011 World Way, Skyview Bldg., 3rd Floor",CA,Los Angeles,90045.0,EMAIL
Los Angeles World Airports,http://www.flyLAX.com,Airports,laxconstructionhotline@lawa.org,4246467460.0,"6053 W. Century Blvd. Suite 3011 World Way, Skyview Bldg., 3rd Floor",CA,Los Angeles,90045.0,EMAIL
Los Angeles World Airports,http://www.flyLAX.com,Airports,hhuebner@lawa.org,4246467460.0,"6053 W. Century Blvd. Suite 3011 World Way, Skyview Bldg., 3rd Floor",CA,Los Angeles,90045.0,EMAIL
Los Angeles World Airports,http://www.flyLAX.com,Airports,kphan@lawa.org,4246467460.0,"6053 W. Century Blvd. Suite 3011 World Way, Skyview Bldg., 3rd Floor",CA,Los Angeles,90045.0,EMAIL
Los Angeles World Airports,http://www.flyLAX.com,Airports,sthomas@lawa.org,4246467460.0,"6053 W. Century Blvd. Suite 3011 World Way, Skyview Bldg., 3rd Floor",CA,Los Angeles,90045.0,EMAIL
Los Angeles World Airports,http://www.flyLAX.com,Airports,nniles@lawa.org,4246467460.0,"6053 W. Century Blvd. Suite 3011 World Way, Skyview Bldg., 3rd Floor",CA,Los Angeles,90045.0,EMAIL
"ALJCO, ALJ Electronics",http://www.aljco.com,"Appliance sales, parts, service",carolyne@aljco.com,3102917450.0,12529 Crenshaw Blvd,CA,Hawthorne,90250.0,EMAIL
SAGA Architecture,http://www.sagarchitecture.com,Architect,fglynn@sagarchitecture.com,3103220022.0,233 California Street,CA,El Segundo,90245.0,EMAIL
Torrance Cultural Arts Foundation,http://www.torrancearts.org,Arts Organization / Non-Profit,info@torrancearts.org,3103788100.0,PO Box 10416,CA,Torrance,90505.0,EMAIL
Torrance Cultural Arts Foundation,http://www.torrancearts.org,Arts Organization / Non-Profit,sharon@torrancearts.org,3103788100.0,PO Box 10416,CA,Torrance,90505.0,EMAIL
Torrance Cultural Arts Foundation,http://www.torrancearts.org,Arts Organization / Non-Profit,cwolf@torrancearts.org,3103788100.0,PO Box 10416,CA,Torrance,90505.0,EMAIL
Los Angeles Glass Center,http://www.laglasscenter.com,Arts and Education,info@laglasscenter.com,3104629723.0,141 Penn Street,CA,El Segundo,90245.0,EMAIL
Los Angeles Glass Center,http://www.laglasscenter.com,Arts and Education,jc@joecariati.com,3104629723.0,141 Penn Street,CA,El Segundo,90245.0,EMAIL
Los Angeles Glass Center,http://www.laglasscenter.com,Arts and Education,aimee@laglasscenter.com,3104629723.0,141 Penn Street,CA,El Segundo,90245.0,EMAIL
Jim & Jack's Collision Center,http://www.jimandjacks.com,Auto Body Repair,taleen@jimandjacks.com,3103225733.0,1605 East Grand Ave.,CA,El Segundo,90245.0,EMAIL
Jim & Jack's Collision Center,http://www.jimandjacks.com,Auto Body Repair,info@jimandjacks.com,3103225733.0,1605 East Grand Ave.,CA,El Segundo,90245.0,EMAIL
South Bay Customs,http://www.southbaycustoms.net/,Automotive/Art/Music Venue,michael@southbaycustoms.net,3109821300.0,115 Penn Street,CA,El Segundo,90245.0,EMAIL
"JALUX Americas, Inc.",https://www.am.jalux.com,Aviation Services,kentaro.kawaguchi@am.jalux.com,3105241033.0,"390 N. Pacific Coast Hwy, Suite 2000",CA,El Segundo,90245.0,EMAIL
Electric Bikes LA,http://www.electricbikesla.com,Bicycle Shop,andrea@electricbikesla.com,3106402453.0,433 Main Street,CA,El Segundo,90245.0,EMAIL
Sandy Weinstein Solutions,http://www.sandysolutions.net,Bookkeeping,sandyw@sandysolutions.net,4242901956.0,126 W. Oak Avenue,CA,El Segundo,90245.0,EMAIL
El Segundo Brewing Company,http://www.elsegundobrewing.com,Brewery (Craft),rob@elsegundobrewing.com,3105293882.0,140 Main Street,CA,El Segundo,90245.0,EMAIL
Surfridge Brewing Company,http://www.surfridgebrewery.com,Brewery (Craft),info@surfridgebrewery.com,4242771102.0,137 Nevada Street,CA,El Segundo,90245.0,EMAIL
El Camino College Small Business Development Center,http://www.southbaysbdc.org,Business Assistance/Resources,svanburen@elcamino.edu,3102258200.0,13430 Hawthorne Blvd.,CA,Hawthorne,90250.0,EMAIL
El Camino College Small Business Development Center,http://www.southbaysbdc.org,Business Assistance/Resources,bmadden@elcamino.edu,3102258200.0,13430 Hawthorne Blvd.,CA,Hawthorne,90250.0,EMAIL
South Bay Workforce Investment Board,http://www.sbwib.org,Business Services,info@sbwib.org,3109707700.0,"11539 Hawthorne Blvd., Suite 500",CA,Hawthorne,90250.0,EMAIL
South Bay Workforce Investment Board,http://www.sbwib.org,Business Services,dhansen@sbwib.org,3109707700.0,"11539 Hawthorne Blvd., Suite 500",CA,Hawthorne,90250.0,EMAIL
South Bay Workforce Investment Board,http://www.sbwib.org,Business Services,ssingh@sbwib.org,3109707700.0,"11539 Hawthorne Blvd., Suite 500",CA,Hawthorne,90250.0,EMAIL
South Bay Workforce Investment Board,http://www.sbwib.org,Business Services,jvogel@sbwib.org,3109707700.0,"11539 Hawthorne Blvd., Suite 500",CA,Hawthorne,90250.0,EMAIL
"2C Processor USA, LLC",http://www.2cpusa.com,E-Commerce,customercare@2cpusa.com,3108462500.0,"898 N Pacific Coast Highway, Suite 300",CA,El Segundo,90245.0,EMAIL
"2C Processor USA, LLC",http://www.2cpusa.com,E-Commerce,helpdesk@2cpusa.com,3108462500.0,"898 N Pacific Coast Highway, Suite 300",CA,El Segundo,90245.0,EMAIL
"2C Processor USA, LLC",http://www.2cpusa.com,E-Commerce,sales@2cpusa.com,3108462500.0,"898 N Pacific Coast Highway, Suite 300",CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,do_not_reply@bounce.esalon.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,photo@esalon.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,ayuda@esalon.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,photo@esalon.ca,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,help@esalon.eu.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,photo@esalon.eu.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,support@esalon.at,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,help@esalon.ca,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,help@esalon.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,support@esalon.ch,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,photo@esalon.co.uk,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,help@esalon.co.uk,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,confirmed@esalon.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,assistance@esalon.ch,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,assistance@esalon.fr,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,ayuda@esalon.es,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,assistenza@esalon.it,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,support@esalon.de,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
eSalon,http://www.esalon.com,E-Commerce,twilliams@esalon.com,8508039001.0,1910 E. Maple Avenue,CA,El Segundo,90245.0,EMAIL
Ameriprise Financial,http://www.robertsmotherman.com,Financial Planning,idajay.giron@ampf.com,3102202307.0,225 California Street,CA,El Segundo,90245.0,EMAIL
Ameriprise Financial,http://www.robertsmotherman.com,Financial Planning,robert.a.smotherman@ampf.com,3102202307.0,225 California Street,CA,El Segundo,90245.0,EMAIL
"The Adishian Group, Merrill Lynch, Pierce, Fenner & Smith Inc.",http://fa.ml.com/adishian_group,Financial Planning,david_g_adishian@ml.com,3105361670.0,"2301 Rosecrans Avenue, Suite 3150",CA,El Segundo,90245.0,EMAIL
"The Adishian Group, Merrill Lynch, Pierce, Fenner & Smith Inc.",http://fa.ml.com/adishian_group,Financial Planning,dg.india_merchantbanking@baml.com,3105361670.0,"2301 Rosecrans Avenue, Suite 3150",CA,El Segundo,90245.0,EMAIL
"The Adishian Group, Merrill Lynch, Pierce, Fenner & Smith Inc.",http://fa.ml.com/adishian_group,Financial Planning,jinendra.shah@baml.com,3105361670.0,"2301 Rosecrans Avenue, Suite 3150",CA,El Segundo,90245.0,EMAIL
